app.js 33ms (unchanged)
src/upgrades/1.17.0/topic_thumb_count.js 1ms (unchanged)
src/upgrades/1.18.0/enable_include_unverified_emails.js 1ms (unchanged)
src/upgrades/1.18.0/topic_tags_refactor.js 1ms (unchanged)
src/upgrades/1.18.4/category_topics_views.js 1ms (unchanged)
src/upgrades/1.19.0/navigation-enabled-hashes.js 1ms (unchanged)
src/upgrades/1.19.0/reenable-username-login.js 0ms (unchanged)
src/upgrades/1.19.2/remove_leftover_thumbs_after_topic_purge.js 2ms (unchanged)
src/upgrades/1.19.2/store_downvoted_posts_in_zset.js 0ms (unchanged)
src/upgrades/1.19.3/fix_user_uploads_zset.js 1ms (unchanged)
src/upgrades/1.19.3/rename_post_upload_hashes.js 1ms (unchanged)
src/upgrades/1.2.0/category_recent_tids.js 0ms (unchanged)
src/upgrades/1.2.0/edit_delete_deletetopic_privileges.js 1ms (unchanged)
src/upgrades/1.3.0/favourites_to_bookmarks.js 0ms (unchanged)
src/upgrades/1.3.0/sorted_sets_for_post_replies.js 1ms (unchanged)
src/upgrades/1.4.0/global_and_user_language_keys.js 1ms (unchanged)
src/upgrades/1.4.0/sorted_set_for_pinned_topics.js 1ms (unchanged)
src/upgrades/1.4.4/config_urls_update.js 1ms (unchanged)
src/upgrades/1.4.4/sound_settings.js 1ms (unchanged)
src/upgrades/1.4.6/delete_sessions.js 1ms (unchanged)
src/upgrades/1.5.0/allowed_file_extensions.js 1ms (unchanged)
src/upgrades/1.5.0/flags_refactor.js 1ms (unchanged)
src/upgrades/1.5.0/moderation_history_refactor.js 0ms (unchanged)
src/upgrades/1.5.0/post_votes_zset.js 0ms (unchanged)
src/upgrades/1.5.0/remove_relative_uploaded_profile_cover.js 0ms (unchanged)
src/upgrades/1.5.1/rename_mods_group.js 1ms (unchanged)
src/upgrades/1.5.2/rss_token_wipe.js 1ms (unchanged)
src/upgrades/1.5.2/tags_privilege.js 1ms (unchanged)
src/upgrades/1.6.0/clear-stale-digest-template.js 0ms (unchanged)
src/upgrades/1.6.0/generate-email-logo.js 1ms (unchanged)
src/upgrades/1.6.0/ipblacklist-fix.js 1ms (unchanged)
src/upgrades/1.6.0/robots-config-change.js 1ms (unchanged)
src/upgrades/1.6.2/topics_lastposttime_zset.js 1ms (unchanged)
src/upgrades/1.7.0/generate-custom-html.js 1ms (unchanged)
src/upgrades/1.7.1/notification-settings.js 1ms (unchanged)
src/upgrades/1.7.3/key_value_schema_change.js 2ms (unchanged)
src/upgrades/1.7.3/topic_votes.js 1ms (unchanged)
src/upgrades/1.7.4/chat_privilege.js 0ms (unchanged)
src/upgrades/1.7.4/fix_moved_topics_byvotes.js 0ms (unchanged)
